tamanho,rem_heap_comp,rem_list_comp
3648,46,3649
3874,46,3875
3115,46,3116
3308,46,3309
640,36,641
940,36,941
3085,46,3086
2514,42,2515
4342,46,4343
1035,36,1036
4217,50,4218
3303,46,3304
2879,46,2880
237,28,238
3468,46,3469
3828,46,3829
4997,46,4998
657,38,658
2701,44,2702
2412,40,2413
1525,38,1526
2927,46,2928
3448,46,3449
2479,46,2480
1242,40,1243
3252,46,3253
1555,42,1556
1432,36,1433
2876,46,2877
3597,46,3598
2719,46,2720
2336,46,2337
2643,42,2644
4189,46,4190
1839,42,1840
3240,46,3241
1657,42,1658
10,11,11
2640,46,2641
1845,42,1846
2432,46,2433
2917,46,2918
1367,38,1368
453,34,454
1948,42,1949
4951,50,4952
3573,40,3574
2694,44,2695
4968,50,4969
2922,46,2923
2390,40,2391
3557,46,3558
3669,46,3670
3175,44,3176
1181,42,1182
3972,44,3973
3440,42,3441
3863,46,3864
3706,46,3707
1221,38,1222
4586,50,4587
3135,46,3136
679,38,680
3431,44,3432
3845,46,3846
2825,46,2826
4945,50,4946
3550,46,3551
1447,42,1448
3592,46,3593
3369,46,3370
2475,42,2476
104,26,105
3397,44,3398
4518,40,4519
3412,44,3413
3711,46,3712
1008,38,1009
465,34,466
1855,42,1856
3112,46,3113
2090,42,2091
2053,42,2054
2228,44,2229
2375,40,2376
1495,38,1496
2031,42,2032
3205,46,3206
2075,42,2076
1701,38,1702
4930,50,4931
3706,46,3707
2804,46,2805
3725,46,3726
3963,46,3964
4295,46,4296
3870,46,3871
2977,44,2978
2785,44,2786
4816,50,4817
4857,50,4858
3310,44,3311
3882,46,3883
762,32,763
881,38,882
227,30,228
4651,50,4652
1292,40,1293
1643,40,1644
3242,46,3243
1553,36,1554
4429,50,4430
1466,38,1467
3743,46,3744
1391,38,1392
395,34,396
2763,42,2764
833,34,834
4667,50,4668
1634,40,1635
786,38,787
3315,46,3316
4695,50,4696
4284,46,4285
163,28,164
1018,38,1019
1943,42,1944
2659,44,2660
4164,48,4165
2583,42,2584
177,30,178
2447,46,2448
2553,44,2554
3826,46,3827
2662,46,2663
4021,46,4022
1493,42,1494
2398,40,2399
3136,46,3137
2139,42,2140
4373,48,4374
4215,46,4216
1056,38,1057
779,38,780
4277,46,4278
4194,46,4195
4902,48,4903
1207,38,1208
3289,46,3290
4406,50,4407
912,36,913
954,38,955
1219,40,1220
4599,46,4600
2408,44,2409
977,38,978
2926,40,2927
12,11,13
3400,46,3401
970,38,971
1908,42,1909
4693,46,4694
2253,42,2254
4852,50,4853
3647,46,3648
1711,42,1712
4740,48,4741
3711,46,3712
1348,36,1349
4531,50,4532
3667,46,3668
2098,42,2099
3233,46,3234
3512,46,3513
4284,50,4285
790,32,791
3057,46,3058
2866,46,2867
3475,46,3476
2360,46,2361
1184,38,1185
710,38,711
1083,38,1084
4903,50,4904
2188,42,2189
1923,42,1924
3864,46,3865
4034,46,4035
2867,44,2868
2149,42,2150
1383,42,1384
3977,46,3978
630,28,631
1800,42,1801
562,32,563
4306,44,4307
4393,46,4394
421,34,422
2094,46,2095
2203,42,2204
3086,46,3087
2715,44,2716
1726,42,1727
1178,41,1179
2277,46,2278
1134,42,1135
3072,46,3073
1577,42,1578
2779,42,2780
2918,46,2919
2342,46,2343
3756,46,3757
2977,46,2978
270,30,271
3227,46,3228
2605,42,2606
2227,42,2228
1721,42,1722
1742,40,1743
299,30,300
2408,42,2409
3611,46,3612
4844,46,4845
935,38,936
